uuid,Members,Answers,Fully specified name:en,Fully specified name:pt_BR,Short name:en,Short name:pt_BR,Data class,Data type,_version:1,_order:1000
ba677306-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Family_planning_Yes,,Yes,Sim,Misc,N/A,,
ba67757c-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Family_planning_No,,No,Não,Misc,N/A,,
ba6776d0-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Family_planning_Yes;Conduct_Family_planning_No,Conduct_Family_planning,,Family Planning,Métodos de Planeamento,Misc,Coded,,
ba678b16-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_PRES_Condom_button_Start,,Start,Inicio,Misc,N/A,,
ba678c4c-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_PRES_Condom_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba678d78-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_PRES_Condom_button_End,,End,Fim,Misc,N/A,,
ba678ea4-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_PRES_Condom_button_Start;Conduct_Contraceptive_Methods_PRES_Condom_button_In_Progress;Conduct_Contraceptive_Methods_PRES_Condom_button_End;,Conduct_Contraceptive_Methods_PRES_Condom_button,,PRES-Condom,Preservativo,Misc,Coded,,
ba6791b0-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button_Start,,Start,Inicio,Misc,N/A,,
ba6792fa-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67941c-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button_End,,End,Fim,Misc,N/A,,
ba679552-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button_Start;Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button_In_Progress;Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button_End;,Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button,,PIL-Oral Contraceptive,Contraceptivo oral,Misc,Coded,,
ba679688-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_INJ_Injection_button_Start,,Start,Inicio,Misc,N/A,,
ba6797aa-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_INJ_Injection_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba679b74-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_INJ_Injection_button_End,,End,Fim,Misc,N/A,,
ba679caa-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_INJ_Injection_button_Start;Conduct_Contraceptive_Methods_INJ_Injection_button_In_Progress;Conduct_Contraceptive_Methods_INJ_Injection_button_End;,Conduct_Contraceptive_Methods_INJ_Injection_button,,INJ-Injection,Injectável,Misc,Coded,,
ba679dcc-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_IMP_Implant_button_Start,,Start,Inicio,Misc,N/A,,
ba679eee-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_IMP_Implant_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67a01a-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_IMP_Implant_button_End,,End,Fim,Misc,N/A,,
ba67a150-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_IMP_Implant_button_Start;Conduct_Contraceptive_Methods_IMP_Implant_button_In_Progress;Conduct_Contraceptive_Methods_IMP_Implant_button_End;,Conduct_Contraceptive_Methods_IMP_Implant_button,,IMP-Implant,Implante,Misc,Coded,,
ba67a4ca-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_DIU_Intra_button_Start,,Start,Inicio,Misc,N/A,,
ba67a614-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_DIU_Intra_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67a74a-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_DIU_Intra_button_End,,End,Fim,Misc,N/A,,
ba67a86c-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_DIU_Intra_button_Start;Conduct_Contraceptive_Methods_DIU_Intra_button_In_Progress;Conduct_Contraceptive_Methods_DIU_Intra_button_End;,Conduct_Contraceptive_Methods_DIU_Intra_button,,DIU-Intra,Dispositivo intra-uterino,Misc,Coded,,
ba67a998-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_Uterine_device_button_Start,,Start,Inicio,Misc,N/A,,
ba67aaba-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_Uterine_device_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67ac18-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_Uterine_device_button_End,,End,Fim,Misc,N/A,,
ba67afce-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_Uterine_device_button_Start;Conduct_Contraceptive_Methods_Uterine_device_button_In_Progress;Conduct_Contraceptive_Methods_Uterine_device_button_End;,Conduct_Contraceptive_Methods_Uterine_device_button,,Uterine device,Dispositivo Uterino,Misc,Coded,,
ba67b122-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button_Start,,Start,Inicio,Misc,N/A,,
ba67b262-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67b398-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button_End,,End,Fim,Misc,N/A,,
ba67b4d8-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button_Start;Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button_In_Progress;Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button_End;,Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button,,LT-Tubal Ligation,Laqueação das Trompas,Misc,Coded,,
ba67b802-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_VAS_Vasectomy_button_Start,,Start,Inicio,Misc,N/A,,
ba67b942-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_VAS_Vasectomy_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67ba6e-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_VAS_Vasectomy_button_End,,End,Fim,Misc,N/A,,
ba67bba4-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_VAS_Vasectomy_button_Start;Conduct_Contraceptive_Methods_VAS_Vasectomy_button_In_Progress;Conduct_Contraceptive_Methods_VAS_Vasectomy_button_End;,Conduct_Contraceptive_Methods_VAS_Vasectomy_button,,VAS-Vasectomy,Vasectomia,Misc,Coded,,
ba67bcd0-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button_Start,,Start,Inicio,Misc,N/A,,
ba67bef6-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67c02c-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button_End,,End,Fim,Misc,N/A,,
ba67c1d0-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button_Start;Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button_In_Progress;Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button_End;,Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button,,MAL-Lactational Amenorrhea Method,Método Amenorreia Lactacional,Misc,Coded,,
ba67c4f0-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_OUT_Other_button_Start,,Start,Inicio,Misc,N/A,,
ba67c644-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_OUT_Other_button_In_Progress,,In-Progress,Em Curso,Misc,N/A,,
ba67c860-7acc-11e9-8f9e-2a86e4085a59,,,Conduct_Contraceptive_Methods_OUT_Other_button_End,,End,Fim,Misc,N/A,,
ba67c9c8-7acc-11e9-8f9e-2a86e4085a59,,Conduct_Contraceptive_Methods_OUT_Other_button_Start;Conduct_Contraceptive_Methods_OUT_Other_button_In_Progress;Conduct_Contraceptive_Methods_OUT_Other_button_End;,Conduct_Contraceptive_Methods_OUT_Other_button,,OUT-Other,Outro,Misc,Coded,,
ba67cafe-7acc-11e9-8f9e-2a86e4085a59,Conduct_Family_planning;Conduct_Contraceptive_Methods_PRES_Condom_button;Conduct_Contraceptive_Methods_PIL_Oral_Contraceptive_button;Conduct_Contraceptive_Methods_INJ_Injection_button;Conduct_Contraceptive_Methods_IMP_Implant_button;Conduct_Contraceptive_Methods_DIU_Intra_button;Conduct_Contraceptive_Methods_Uterine_device_button;Conduct_Contraceptive_Methods_LT_Tubal_Ligation_button;Conduct_Contraceptive_Methods_VAS_Vasectomy_button;Conduct_Contraceptive_Methods_MAL_Lactational_Amenorrhea_Method_button;Conduct_Contraceptive_Methods_OUT_Other_button,,Group_VIII_Conduct_obs_form,,Group VIII-Conduct,Conduta,Misc,N/A,,
