Uuid,Fully specified name:en,Fully specified name:pt,Description,Data class,Data type,Short name:en,Short name:pt,_version:1,_order:900
84fb550a-8c21-11e9-bc42-526af7764f64,AZT+3TC+EFV,AZT+3TC+EFV,,Misc,N/A,,,,
84fb578a-8c21-11e9-bc42-526af7764f64,AZT+3TC+LPV/r,AZT+3TC+LPV/r,,Misc,N/A,,,,
84fb5a00-8c21-11e9-bc42-526af7764f64,AZT+3TC+NVP,AZT+3TC+NVP,,Misc,N/A,,,,
84fb5b4a-8c21-11e9-bc42-526af7764f64,TDF+3TC+EFV,TDF+3TC+EFV,,Misc,N/A,,,,
84fb5d16-8c21-11e9-bc42-526af7764f64,TDF+3TC+NVP,TDF+3TC+NVP,,Misc,N/A,,,,
84fb5f50-8c21-11e9-bc42-526af7764f64,ABC+3TC+EFV,ABC+3TC+EFV,,Misc,N/A,,,,
84fb6086-8c21-11e9-bc42-526af7764f64,TDF+3TC+DTG,TDF+3TC+DTG,,Misc,N/A,,,,
84fb625c-8c21-11e9-bc42-526af7764f64,ABC+3TC+DTG,ABC+3TC+DTG,,Misc,N/A,,,,
84fb6392-8c21-11e9-bc42-526af7764f64,TDF+3TC+DTG2,TDF+3TC+DTG2,,Misc,N/A,,,,
84fb65f4-8c21-11e9-bc42-526af7764f64,ABC+3TC+LPV/r,ABC+3TC+LPV/r,,Misc,N/A,,,,
84fb6734-8c21-11e9-bc42-526af7764f64,TDF+3TC+LPV/r,TDF+3TC+LPV/r,,Misc,N/A,,,,
84fb6be4-8c21-11e9-bc42-526af7764f64,TDF+3TC+LPV/r+RTV,TDF+3TC+LPV/r+RTV,,Misc,N/A,,,,
84fb6dce-8c21-11e9-bc42-526af7764f64,TDF+3TC+ATV/r,TDF+3TC+ATV/r,,Misc,N/A,,,,
84fb6f0e-8c21-11e9-bc42-526af7764f64,ABC+3TC+ATV/r,ABC+3TC+ATV/r,,Misc,N/A,,,,
84fb70ee-8c21-11e9-bc42-526af7764f64,AZT+3TC+ATV/r,AZT+3TC+ATV/r,,Misc,N/A,,,,
84fb73dc-8c21-11e9-bc42-526af7764f64,ABC+3TC+ATV/r+RAL,ABC+3TC+ATV/r+RAL,,Misc,N/A,,,,
84fb756c-8c21-11e9-bc42-526af7764f64,TDF+3TC+ATV/r+RAL,TDF+3TC+ATV/r+RAL,,Misc,N/A,,,,
84fb76fc-8c21-11e9-bc42-526af7764f64,TDF+3TC+RAL+DRV/r,TDF+3TC+RAL+DRV/r,,Misc,N/A,,,,
84fb7940-8c21-11e9-bc42-526af7764f64,ABC+3TC++RAL+DRV/r,ABC+3TC++RAL+DRV/r,,Misc,N/A,,,,
84fb7a80-8c21-11e9-bc42-526af7764f64,3TC+RAL+DRV/r,3TC+RAL+DRV/r,,Misc,N/A,,,,
84fb81c4-8c21-11e9-bc42-526af7764f64,AZT+3TC+ABC,AZT+3TC+ABC,,Misc,N/A,,,,
84fb873c-8c21-11e9-bc42-526af7764f64,ABC+3TC+NVP,ABC+3TC+NVP,,Misc,N/A,,,,
5ecdd73b-c8be-40e5-bdab-1a0b20a56e52,AZT+3TC+RAL,AZT+3TC+RAL,,Misc,N/A,,,,
d5b71f81-cff8-4d5a-9f8d-77dafc469c21,AZT+3TC+DRV/r,AZT+3TC+DRV/r,,Misc,N/A,,,,
338709c0-38de-4180-a7d9-19ab24013208,ABC+3TC+RAL+DRV/r,ABC+3TC+RAL+DRV/r,,Misc,N/A,,,,
deeed557-26f1-49db-891b-4e8ce973c281,AZT+3TC+RAL+DRV/r,AZT+3TC+RAL+DRV/r,,Misc,N/A,,,,
c7eab9c0-c272-4735-b704-1ae8a8748893,AZT+3TC+DTG,AZT+3TC+DTG,,Misc,N/A,,,,
c7eab9c0-c272-4735-b704-1ae8a8748894,ABC+3TC+RAL+DRV+RTV,ABC+3TC+RAL+DRV+RTV,,Misc,N/A,,,,
c7eab9c0-c272-4735-b704-1ae8a8748895,AZT+3TC+RAL+DRV+RTV,AZT+3TC+RAL+DRV+RTV,,Misc,N/A,,,,
c7eab9c0-c272-4735-b704-1ae8a8748896,TDF+3TC+RAL+DRV+RTV,TDF+3TC+RAL+DRV+RTV,,Misc,N/A,,,,
9f7278e6-e045-11e9-8a34-2a2ae2dbcce4,AZT+DDI+LPV/r,AZT+DDI+LPV/r,,Misc,N/A,,,,
9f727b52-e045-11e9-8a34-2a2ae2dbcce4,AZT+3TC+ABC+EFV,AZT+3TC+ABC+EFV,,Misc,N/A,,,,
9f727f44-e045-11e9-8a34-2a2ae2dbcce4,D4T+3TC+ABC+EFV,D4T+3TC+ABC+EFV,,Misc,N/A,,,,
9f72808e-e045-11e9-8a34-2a2ae2dbcce4,AZT+3TC+ABC+LPV/r,AZT+3TC+ABC+LPV/r,,Misc,N/A,,,,
9f7281c4-e045-11e9-8a34-2a2ae2dbcce4,D4T+3TC+ABC+LPV/r,D4T+3TC+ABC+LPV/r,,Misc,N/A,,,,
9f7282fa-e045-11e9-8a34-2a2ae2dbcce4,D4T+3TC+ABC,D4T+3TC+ABC,,Misc,N/A,,,,
9f728426-e045-11e9-8a34-2a2ae2dbcce4,D4T+3TC+EFV,D4T+3TC+EFV,,Misc,N/A,,,,
9f72855c-e045-11e9-8a34-2a2ae2dbcce4,D4T+3TC+NVP,D4T+3TC+NVP,,Misc,N/A,,,,
9f729cd6-e045-11e9-8a34-2a2ae2dbcce4,D4T+3TC+LPV/r,D4T+3TC+LPV/r,,Misc,N/A,,,,
9f729e70-e045-11e9-8a34-2a2ae2dbcce4,D4T 6+3TC+NVP (Triomune Baby),D4T 6+3TC+NVP (Triomune Baby),,Misc,N/A,,,,
