Uuid,Fully specified name:en,Fully specified name:pt_BR,Description,Data class,Data type,Short name:en,Short name:pt_BR,Same as mappings,_version:1,_order:1000
9d77abd7-3f10-11e4-adec-0800271c1b75,Once a day,Uma vez por dia,,Frequency,N/A,OD,,,,
9d7c81f9-3f10-11e4-adec-0800271c1b75,Twice a day,Duas vezes por dia,,Frequency,N/A,BD,,,,
9d7d753b-3f10-11e4-adec-0800271c1b75,Thrice a day,Três vezes por dia,,Frequency,N/A,TDS,,,,
9d83d5f2-3f10-11e4-adec-0800271c1b75,Four times a day,Quatro vezes por dia,,Frequency,N/A,QDS,,,,
33436036-8a92-11e4-977f-0800271c1b75,Every Hour,De uma em uma hora,,Frequency,N/A,QH,,,,
3344f15b-8a92-11e4-977f-0800271c1b75,Every 2 hours,De duas em duas horas,,Frequency,N/A,Q2H,,,,
33460abd-8a92-11e4-977f-0800271c1b75,Every 3 hours,De três em três horas,,Frequency,N/A,Q3H,,,,
334ce904-8a92-11e4-977f-0800271c1b75,Every 4 hours,De 4 e em 4 horas,,Frequency,N/A,Q4H,,,,
334dbd41-8a92-11e4-977f-0800271c1b75,Every 6 hours,De seis em seis horas,,Frequency,N/A,Q6H,,,,
334ea16c-8a92-11e4-977f-0800271c1b75,Every 8 hours,De oito em oito horas,,Frequency,N/A,Q8H,,,,
334f851c-8a92-11e4-977f-0800271c1b75,Every 12 hours,De doze em doze horas,,Frequency,N/A,Q12H,,,,
335071ea-8a92-11e4-977f-0800271c1b75,On alternate days,Dias alternativos (DiaSim dia Não),,Frequency,N/A,A/D,,,,
33516e22-8a92-11e4-977f-0800271c1b75,Once a week,Uma vez por semana,,Frequency,N/A,,,,,
33523c55-8a92-11e4-977f-0800271c1b75,Twice a week,duas vezes por semana,,Frequency,N/A,,,,,
3352f51b-8a92-11e4-977f-0800271c1b75,Thrice a week,TrÊs vezes pro semana,,Frequency,N/A,,,,,
3353b81e-8a92-11e4-977f-0800271c1b75,Every 2 weeks,De 2 em 2 semanas,,Frequency,N/A,,,,,
33547af0-8a92-11e4-977f-0800271c1b75,Every 3 weeks,De 3 em 3 semanas,,Frequency,N/A,,,,,
3355487f-8a92-11e4-977f-0800271c1b75,Once a month,Uma vez por mês,,Frequency,N/A,,,,,
33b40722-8a92-11e4-977f-0800271c1b75,Five times a day,Cinco vezes ao dia,,Frequency,N/A,,,,,
33b501b0-8a92-11e4-977f-0800271c1b75,Four days a week,Quatro vezes por semana,,Frequency,N/A,,,,,
33b5c447-8a92-11e4-977f-0800271c1b75,Five days a week,Cinco vezes por semana,,Frequency,N/A,,,,,
33b68622-8a92-11e4-977f-0800271c1b75,Six days a week,Seis  vezes por semana,,Frequency,N/A,,,,,