uuid,Members,Answers,Fully specified name:en,Fully specified name:pt_BR,Short name:en,Short name:pt_BR,Description:en,Description:pt_BR,Data class,Data type,Units,Normal high,Normal low,_version:1,_order:1008
ff6ef234-91c0-11e9-b683-526af7764f64,,,REL_DAD,REL_DAD,Father,Pai,,,Misc,N/A,,,,,
ff6ef716-91c0-11e9-b683-526af7764f64,,,REL_MOM,REL_MOM,Mother,Mãe,,,Misc,N/A,,,,,
ff6ef87e-91c0-11e9-b683-526af7764f64,,,REL_STEPDAD,REL_STEPDAD,Stepfather,Padrasto,,,Misc,N/A,,,,,
ff6ef9b4-91c0-11e9-b683-526af7764f64,,,REL_STEPMOM,REL_STEPMOM,Stepmother,Madrasta,,,Misc,N/A,,,,,
ff6efad6-91c0-11e9-b683-526af7764f64,,,REL_FATHERINLAW,REL_FATHERINLAW,Father/ Mother in Law,Sogro(a),,,Misc,N/A,,,,,
ff6efbf8-91c0-11e9-b683-526af7764f64,,,REL_GODFATHER,REL_GODFATHER,Godfather,Padrinho,,,Misc,N/A,,,,,
ff6efd1a-91c0-11e9-b683-526af7764f64,,,REL_GODMOTHER,REL_GODMOTHER,Godmother,Madrinha,,,Misc,N/A,,,,,
ff6effd6-91c0-11e9-b683-526af7764f64,,,REL_SON_DAUGHTER,REL_SON_DAUGHTER,Son/ Daughter,Filho(a),,,Misc,N/A,,,,,
ff6f0120-91c0-11e9-b683-526af7764f64,,,REL_BROTHER,REL_BROTHER,Brother,Irmão,,,Misc,N/A,,,,,
ff6f0242-91c0-11e9-b683-526af7764f64,,,REL_SISTER,REL_SISTER,Sister,Irmã,,,Misc,N/A,,,,,
ff6f0364-91c0-11e9-b683-526af7764f64,,,REL_COUSIN,REL_COUSIN,Cousin,Primo(a),,,Misc,N/A,,,,,
ff6f0486-91c0-11e9-b683-526af7764f64,,,REL_GODSON_DAUGHTER,REL_GODSON_DAUGHTER,Godson/ Goddaughter,Afilhado(a),,,Misc,N/A,,,,,
ff6f0792-91c0-11e9-b683-526af7764f64,,,REL_NEPHEW,REL_NEPHEW,Nephew/ Niece,Sobrinho(a),,,Misc,N/A,,,,,
ff6f08c8-91c0-11e9-b683-526af7764f64,,,REL_BROTHERINLAW,REL_BROTHERINLAW,Brother in Law,Cunhado(a),,,Misc,N/A,,,,,
ff6f09f4-91c0-11e9-b683-526af7764f64,,,REL_SISTERINLAW,REL_SISTERINLAW,Sister in Law,Concunhado(a),,,Misc,N/A,,,,,
ff6f0b0c-91c0-11e9-b683-526af7764f64,,,REL_UNCLE_AUNT,REL_UNCLE_AUNT,Uncle/ Aunt,Tio(a),,,Misc,N/A,,,,,
ff6f0c24-91c0-11e9-b683-526af7764f64,,,REL_GRANDFATHER_MOTHER,REL_GRANDFATHER_MOTHER,Grandfather/ GrandMother,Avo,,,Misc,N/A,,,,,
ff6f0d50-91c0-11e9-b683-526af7764f64,,,REL_SONINLAW,REL_SONINLAW,Son in Law,Genro,,,Misc,N/A,,,,,
ff6f11ec-91c0-11e9-b683-526af7764f64,,,REL_DAUGHTERINLAW,REL_DAUGHTERINLAW,Daughter in Law,Nora,,,Misc,N/A,,,,,
ff6f1368-91c0-11e9-b683-526af7764f64,,,REL_HUSBAND_WIFE,REL_HUSBAND_WIFE,Husband/ Wife,Esposo(a),,,Misc,N/A,,,,,
ff6f1494-91c0-11e9-b683-526af7764f64,,,REL_GRANDSON_DAUGHTER,REL_GRANDSON_DAUGHTER,Grandson / Granddaughter,Neto(a),,,Misc,N/A,,,,,
ff6f15b6-91c0-11e9-b683-526af7764f64,,,REL_NEIGHBOR,REL_NEIGHBOR,Neighbor,Vizinho(a),,,Misc,N/A,,,,,
ff6f16d8-91c0-11e9-b683-526af7764f64,,,REL_FRIEND,REL_FRIEND,Friend,Amigo(a),,,Misc,N/A,,,,,