Uuid,Name,Concept Drug,Concept Dosage Form,Description,_version:1,_order:1000,Void/Retire
e40a8d1b-be88-4699-a292-cee341e08530,AZT+3TC+EFV,AZT+3TC+EFV,ARV,,,,yes
464ed4cd-46f8-4bd4-9cd8-59e1aba73f01,AZT+3TC+LPV/r,AZT+3TC+LPV/r,ARV,,,,yes
3279e686-fc55-4832-b4f4-957a0aa038d3,AZT+3TC+NVP,AZT+3TC+NVP,ARV,,,,yes
75d8042f-a971-4896-8c76-73933758186b,TDF+3TC+EFV,TDF+3TC+EFV,ARV,,,,yes
7dc498d3-35f1-4fb1-a815-419d04de222f,TDF+3TC+NVP,TDF+3TC+NVP,ARV,,,,yes
c38fc461-8f6f-4414-9ab9-88fe1524ca31,ABC+3TC+EFV,ABC+3TC+EFV,ARV,,,,yes
f4d95a18-318a-45fa-a022-e45b9cb3f40f,TDF+3TC+DTG,TDF+3TC+DTG,ARV,,,,yes
c73506db-f6cf-40e5-b111-11c8dba76afe,ABC+3TC+DTG,ABC+3TC+DTG,ARV,,,,yes
c43d4852-5150-4a24-a33f-c10a1e52efcf,TDF+3TC+DTG2,TDF+3TC+DTG2,ARV,,,,yes
a36e2f14-136a-44ad-a086-fcf319fe9fc3,ABC+3TC+LPV/r,ABC+3TC+LPV/r,ARV,,,,yes
5e20669f-f46d-4a22-b49e-f2893635576f,TDF+3TC+LPV/r,TDF+3TC+LPV/r,ARV,,,,yes
622f80e4-8f5a-47b2-b651-cb0368e9d630,TDF+3TC+LPV/r+RTV,TDF+3TC+LPV/r+RTV,ARV,,,,yes
2051d703-92d5-4277-ad36-1cd3e471cbfc,TDF+3TC+ATV/r,TDF+3TC+ATV/r,ARV,,,,yes
7a61c551-993a-4d7b-b3aa-ae5bea189205,ABC+3TC+ATV/r,ABC+3TC+ATV/r,ARV,,,,yes
a2148ed3-3851-4d53-9e10-6d5cf861aee3,AZT+3TC+ATV/r,AZT+3TC+ATV/r,ARV,,,,yes
766ef3e1-55f2-427f-a2f1-14f26666c58b,ABC+3TC+ATV/r+RAL,ABC+3TC+ATV/r+RAL,ARV,,,,yes
03b1aacb-0701-44a2-9296-21887f4c7200,TDF+3TC+ATV/r+RAL,TDF+3TC+ATV/r+RAL,ARV,,,,yes
f7304d72-cd87-403e-add9-4e5dff74af63,TDF+3TC+RAL+DRV/r,TDF+3TC+RAL+DRV/r,ARV,,,,yes
26513fe0-d634-4da9-a6b0-e64fe38ff1c6,ABC+3TC++RAL+DRV/r,ABC+3TC++RAL+DRV/r,ARV,,,,yes
6a130dad-68f8-44d5-b195-4add43cecd1a,3TC+RAL+DRV/r,3TC+RAL+DRV/r,ARV,,,,yes
ef76aacc-b436-43cd-bf23-e04a7718fdc9,AZT+3TC+ABC,AZT+3TC+ABC,ARV,,,,yes
027245a7-db35-4375-b968-82f460551674,ABC+3TC+NVP,ABC+3TC+NVP,ARV,,,,yes
915b2838-58be-4d42-bbe4-10e6e8c53de6,AZT+3TC+RAL,AZT+3TC+RAL,ARV,,,,yes
a83f5ceb-34d4-44ca-a7b1-df5e241d020b,AZT+3TC+DRV/r,AZT+3TC+DRV/r,ARV,,,,yes
1dcaf4c5-020f-43c6-96d6-d96e1a5cbed0,ABC+3TC+RAL+DRV/r,ABC+3TC+RAL+DRV/r,ARV,,,,yes
02163232-0b9c-483f-8b3b-f9707cf38520,AZT+3TC+RAL+DRV/r,AZT+3TC+RAL+DRV/r,ARV,,,,yes
d651a1ef-3659-4181-b894-75d8ca608594,AZT+3TC+DTG,AZT+3TC+DTG,ARV,,,,yes