Uuid,Void/Retire,NAME,Description,Format,Foreign uuid,Searchable,_order:1000
82325788-3f10-11e4-adec-0800271c1b75,true,givenNameLocal,Name in local language,java.lang.String,,,
8233a58a-3f10-11e4-adec-0800271c1b75,true,familyNameLocal,familyNameLocal,java.lang.String,,,
8234e7b0-3f10-11e4-adec-0800271c1b75,true,middleNameLocal,middleNameLocal,java.lang.String,,,
c1f4239f-3f10-11e4-adec-0800271c1b75,true,caste,Caste,java.lang.String,,,
c1f455e7-3f10-11e4-adec-0800271c1b75,true,class,Class,org.openmrs.Concept,,,
c1f4a004-3f10-11e4-adec-0800271c1b75,true,education,Education Details,org.openmrs.Concept,,,
c1f7d1f1-3f10-11e4-adec-0800271c1b75,true,occupation,Occupation,org.openmrs.Concept,,,
c1f7fd17-3f10-11e4-adec-0800271c1b75,true,primaryContact,Primary Contact,java.lang.String,,,
c1f825c9-3f10-11e4-adec-0800271c1b75,true,secondaryContact,Secondary Contact,java.lang.String,,,
c1f84df3-3f10-11e4-adec-0800271c1b75,true,primaryRelative,Father's/Husband Name,java.lang.String,,,
c1f8880d-3f10-11e4-adec-0800271c1b75,true,secondaryIdentifier,Secondary Identifier,java.lang.String,,,
3dfdc176-17fd-42b1-b5be-c7e25b78b602,true,landHolding,Land Holding (in acres),java.lang.Integer,,,
fb3c00b1-81c8-40fe-89e8-6b3344688a13,true,debt,debt (in Rs),java.lang.String,,,
d1314f0f-c2d9-4223-88d9-ec4d2827c9da,true,distanceFromCenter,Distance From Center (in km),java.lang.Float,,,
9234695b-0f68-4970-aeb7-3b32d4a2b346,true,isUrban,Urban,java.lang.Boolean,,,
35e98d04-3981-4257-a593-fadd81bfc109,true,cluster,cluster,org.openmrs.Concept,,,
6f32179b-c6b9-465e-a278-c15da2637630,true,RationCard,Ration Card Type,org.openmrs.Concept,,,
a10fe690-1c44-4ba8-a244-8fe51f9e61f7,true,familyIncome,Family Income (per month in Rs),org.openmrs.Concept,,,